Title,Latitude,Longitude,PowerKW,charging_station_type,anno
A2A Isola Digitale Corso Como - Porta Garibaldi,45.481164081932704,9.185727157637404,22,slow,2024
A2A Isola Digitale Pirelli Gioia,45.48393791925422,9.196116023704336,22,slow,2024
A2A Isola Digitale Stazione Centrale,45.48478790850366,9.204744019552992,22,slow,2024
A2A  Isola Digitale Piazza Argentina,45.48407266183787,9.214261838242338,22,slow,2024
A2A  Isola Digitale Hoepli,45.46642688974372,9.192647927,22,slow,2024
A2A  Isola Digitale Porta Venezia,45.474703147703174,9.204557606026457,22,slow,2024
Parcheggio Zenale,45.46533184397872,9.170250115169537,22,slow,2024
Autorimessa Ariberto Lombarda Parking,45.457678598675194,9.175033190295027,50,fast,2024
Keropetrol,45.47096599999694,9.199625799995736,50,fast,2025
Parking Quinto Alpini,45.4723854,9.167665099996333,22,slow,2025
Caffè Mozart,45.468431400004405,9.1907137,50,fast,2025
nuova_colonnina,45.45719327192738,9.190728168795475,50,fast,2025
Central Parking,45.458528699996485,9.186016000003402,50,fast,2025
nuova_colonnina,45.46328700787923,9.177413412347882,22,slow,2025
nuova_colonnina,45.51865578745674,9.242217656353407,22,slow,2025
nuova_colonnina,45.503601699782756,9.220519911567477,22,slow,2025
nuova_colonnina,45.48799954054497,9.220467478063382,50,fast,2025
nuova_colonnina,45.513835150000745,9.224299250000726,50,fast,2025
nuova_colonnina,45.493739745306904,9.193997794467442,22,slow,2025
nuova_colonnina,45.48945176592374,9.196146926249996,22,slow,2025
nuova_colonnina,45.508953439494796,9.224348614549688,50,fast,2025
nuova_colonnina,45.51342502272248,9.230020340198655,22,slow,2025
nuova_colonnina,45.50363181944083,9.217696481606346,50,fast,2025
nuova_colonnina,45.50448630000237,9.227578799998383,22,slow,2025
nuova_colonnina,45.51882226,9.230773622390126,22,slow,2025
nuova_colonnina,45.47427516913298,9.245956923572509,22,slow,2025
Libera Scuola Rudolf Steiner,45.48454621163519,9.240668581499097,22,slow,2025
nuova_colonnina,45.48340170000252,9.219816800002722,22,slow,2025
nuova_colonnina,45.438961146806065,9.264541923483637,22,slow,2025
nuova_colonnina,45.44021508050808,9.263986248739627,22,slow,2025
SAN DONATO-EMILIA VIA SAN DONATO-EMILIA CORRISPONDENZA LINEA MM3,45.42813680000326,9.254368800002023,50,fast,2025
nuova_colonnina,45.44862822,9.230282453896121,50,fast,2025
nuova_colonnina,45.441514482529485,9.242134933477912,50,fast,2025
nuova_colonnina,45.426869739704706,9.250471848390328,22,slow,2025
nuova_colonnina,45.47078259577149,9.256239204198682,22,slow,2025
nuova_colonnina,45.44003879690866,9.242377829642054,22,slow,2025
nuova_colonnina,45.43733883020677,9.232520067310732,50,fast,2025
nuova_colonnina,45.43421975764591,9.250066934755813,22,slow,2025
nuova_colonnina,45.44536058552464,9.240583950873827,50,fast,2025
nuova_colonnina,45.46416085909483,9.257415240768333,50,fast,2025
Eni,45.42658210000405,9.202726600006004,50,fast,2025
Tamoil,45.420500051691846,9.202497383,50,fast,2025
nuova_colonnina,45.43410376812825,9.206150999355355,22,slow,2025
nuova_colonnina,45.43286491456627,9.171972119375056,22,slow,2025
nuova_colonnina,45.4361503,9.172151408004135,22,slow,2025
nuova_colonnina,45.44519781764021,9.184114371721968,50,fast,2025
nuova_colonnina,45.43647202986168,9.174689457,50,fast,2025
nuova_colonnina,45.43277615108361,9.219719275931539,50,fast,2025
Bocconi C Park,45.45053220000136,9.189833000004414,22,slow,2025
nuova_colonnina,45.420210208887354,9.156229001404949,150,ultrafast,2025
Agip,45.44526600000435,9.120571599997051,50,fast,2025
Esso,45.445297599997495,9.1623849,50,fast,2025
TotalErg,45.44131749999631,9.150056100003125,50,fast,2025
nuova_colonnina,45.431130299996276,9.156000999997298,22,slow,2025
Garage Internazionale,45.457512400000844,9.164035199997143,22,slow,2025
nuova_colonnina,45.44212499999645,9.117346600001067,50,fast,2025
nuova_colonnina,45.451596041150985,9.115457945808688,50,fast,2025
Tamoil,45.46015239999777,9.095917199995023,50,fast,2025
Esso,45.482140999996425,9.094157999999174,50,fast,2025
